playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
buterdr01,2017,1,KCA,AL,1B,4,0,30,13,1,0,1,,,,,
buterdr01,2017,1,KCA,AL,C,74,43,1296,397,18,2,2,7,,27,9,
butleed01,2017,1,CHN,NL,P,13,11,164,7,10,0,1,,,,,
buxtoby01,2017,1,MIN,AL,OF,137,131,3429,389,6,5,1,,,,,
cabreas01,2017,1,NYN,NL,2B,32,32,823,60,85,0,23,,,,,
cabreas01,2017,1,NYN,NL,3B,44,40,1051,19,62,6,6,,,,,
cabreas01,2017,1,NYN,NL,SS,45,44,1160,49,124,11,31,,,,,
cabreme01,2017,1,CHA,AL,OF,92,92,2361,150,9,2,0,,,,,
cabreme01,2017,2,KCA,AL,OF,54,54,1319,87,3,0,0,,,,,
cabremi01,2017,1,DET,AL,1B,115,115,2815,761,63,1,90,,,,,
cahiltr01,2017,1,SDN,NL,P,11,11,183,2,13,0,3,,,,,
cahiltr01,2017,2,KCA,AL,P,10,3,69,1,7,0,0,,,,,
cainlo01,2017,1,KCA,AL,OF,151,151,3825,430,6,7,3,,,,,
cainma01,2017,1,SFN,NL,P,27,23,373,12,18,1,3,,,,,
calhoko01,2017,1,LAA,AL,OF,154,153,4015,312,10,4,1,,,,,
calhowi01,2017,1,TEX,AL,OF,11,8,222,11,1,1,0,,,,,
calixor01,2017,1,SFN,NL,3B,5,2,51,1,1,0,0,,,,,
calixor01,2017,1,SFN,NL,OF,11,9,236,15,0,2,0,,,,,
calixor01,2017,1,SFN,NL,SS,4,0,27,5,2,0,0,,,,,
callaja01,2017,1,NYN,NL,P,9,0,20,1,1,0,0,,,,,
camarjo01,2017,1,ATL,NL,2B,9,6,171,9,14,0,5,,,,,
camarjo01,2017,1,ATL,NL,3B,43,30,858,30,61,3,7,,,,,
camarjo01,2017,1,ATL,NL,OF,1,0,3,0,0,0,0,,,,,
camarjo01,2017,1,ATL,NL,SS,26,24,616,16,64,1,10,,,,,
campole01,2017,1,TOR,AL,P,13,0,41,1,0,0,0,,,,,
candeje01,2017,1,CHN,NL,1B,1,1,24,6,1,0,1,,,,,
candeje01,2017,1,CHN,NL,3B,9,7,196,8,17,1,2,,,,,
candeje01,2017,2,DET,AL,3B,27,25,669,15,39,4,2,,,,,
canhama01,2017,1,OAK,AL,1B,3,0,21,6,2,0,0,,,,,
canhama01,2017,1,OAK,AL,OF,53,44,1147,101,1,5,0,,,,,
canoro01,2017,1,SEA,AL,2B,150,148,3860,254,339,10,97,,,,,
cappsca01,2017,1,SDN,NL,P,11,0,37,0,1,0,0,,,,,
caratvi01,2017,1,CHN,NL,1B,8,3,123,33,2,0,3,,,,,
caratvi01,2017,1,CHN,NL,C,12,7,227,76,10,2,1,0,,6,2,
caratvi01,2017,1,CHN,NL,OF,1,0,3,0,0,0,0,,,,,
cardust01,2017,1,COL,NL,OF,8,6,166,13,0,0,0,,,,,
carlesh01,2017,1,COL,NL,P,3,0,12,0,0,0,0,,,,,
carpema01,2017,1,SLN,NL,1B,120,110,2848,895,74,7,103,,,,,
carpema01,2017,1,SLN,NL,2B,13,13,309,15,32,4,9,,,,,
carpema01,2017,1,SLN,NL,3B,16,16,333,5,26,2,5,,,,,
carraca01,2017,1,CLE,AL,P,32,32,600,4,17,0,1,,,,,
carreez01,2017,1,TOR,AL,OF,121,71,2107,140,5,4,0,,,,,
cartech02,2017,1,NYA,AL,1B,56,48,1300,391,22,4,31,,,,,
cartech02,2017,1,NYA,AL,OF,2,0,9,0,0,0,0,,,,,
casalcu01,2017,1,TBA,AL,C,8,2,84,42,5,0,0,0,,2,1,
cashnan01,2017,1,TEX,AL,P,28,28,500,5,20,0,1,,,,,
casteni01,2017,1,DET,AL,3B,129,128,3295,77,202,18,21,,,,,
casteni01,2017,1,DET,AL,OF,21,20,519,26,0,1,0,,,,,
castifa01,2017,1,LAN,NL,P,2,0,4,0,0,0,0,,,,,
castilu02,2017,1,CIN,NL,P,15,15,268,8,18,0,0,,,,,
castiwe01,2017,1,BAL,AL,C,88,86,2260,647,42,4,9,5,,25,24,
castrja01,2017,1,MIN,AL,C,108,104,2726,707,34,3,5,5,,42,15,
castrmi01,2017,1,BAL,AL,P,39,1,199,2,10,0,1,,,,,
castrsi01,2017,1,OAK,AL,P,26,0,111,0,2,1,0,,,,,
castrst01,2017,1,NYA,AL,2B,109,108,2808,175,226,11,46,,,,,
cecchga02,2017,1,NYN,NL,2B,20,18,467,33,33,0,10,,,,,
cecilbr01,2017,1,SLN,NL,P,73,0,202,1,15,1,0,,,,,
cecilda01,2017,1,TOR,AL,OF,2,1,18,2,0,0,0,,,,,
cedenxa01,2017,1,TBA,AL,P,9,0,9,0,2,1,0,,,,,
centeju01,2017,1,HOU,AL,C,22,15,422,151,8,2,1,6,,11,1,
cervefr01,2017,1,PIT,NL,C,78,75,1936,500,47,5,6,7,,44,11,
cervehu01,2017,1,MIA,NL,P,5,0,14,0,1,0,0,,,,,
cespeyo01,2017,1,NYN,NL,OF,74,75,1892,137,6,6,1,,,,,
cessalu01,2017,1,NYA,AL,P,10,5,108,4,5,0,0,,,,,
chacial01,2017,1,CIN,NL,P,6,0,18,0,0,0,0,,,,,
chacijh01,2017,1,SDN,NL,P,32,32,541,1,34,1,5,,,,,
chafian01,2017,1,ARI,NL,P,71,0,154,6,5,0,0,,,,,
chapmar01,2017,1,NYA,AL,P,52,0,151,1,3,0,0,,,,,
chapmma01,2017,1,OAK,AL,3B,84,83,2181,72,203,13,34,,,,,
chatwty01,2017,1,COL,NL,P,33,25,443,6,37,0,3,,,,,
chaveje01,2017,1,LAA,AL,P,38,21,414,4,11,0,1,,,,,
