yearID,teamID,Division,Rank,Games,Wins,Losses,Division winner,League winner,World series winner,Runs scored,At bats,Hits by batters,Doubles,Triples,Homeruns,Walks,Strikeouts,Stolen bases,Cought stealing,Batters hit by pitch,Sacrifice flies,Opponents runs scored,Earned runs allowed,Earned runs average,Shutouts,Saves,Hits allowed,Homeruns allowed,Walks allowed,Strikeouts allowed,Errors,Double plays,Fielding percentage
1989,NYN,E,2,162,87,75,N,N,N,683,5489,1351,280,21,147,504.0,934.0,158.0,53.0,33.0,48.0,595,532,3.29,12,38,1260,115,532,1108,144,110,0.976
1989,OAK,W,1,162,99,63,Y,Y,Y,712,5416,1414,220,25,127,562.0,855.0,157.0,55.0,34.0,62.0,576,497,3.09,20,57,1287,103,510,930,129,159,0.9790000000000001
1989,PHI,E,6,163,67,95,N,N,N,629,5447,1324,215,36,123,558.0,926.0,106.0,50.0,22.0,42.0,735,644,4.04,10,33,1408,127,613,899,133,136,0.9790000000000001
1989,PIT,E,5,164,74,88,N,N,N,637,5539,1334,263,53,95,563.0,914.0,155.0,69.0,24.0,51.0,680,602,3.64,9,40,1394,121,539,827,160,130,0.975
1989,SDN,W,2,162,89,73,N,N,N,642,5422,1360,215,32,120,552.0,1013.0,136.0,67.0,9.0,41.0,626,547,3.38,11,52,1359,133,481,933,154,147,0.976
1989,SEA,W,6,162,73,89,N,N,N,694,5512,1417,237,29,134,489.0,838.0,81.0,55.0,45.0,52.0,728,639,4.0,10,44,1422,114,560,897,143,168,0.977
1989,SFN,W,1,162,92,70,Y,Y,N,699,5469,1365,241,52,141,508.0,1071.0,87.0,54.0,40.0,39.0,600,535,3.3,16,47,1320,120,471,802,114,135,0.982
1989,SLN,E,3,164,86,76,N,N,N,632,5492,1418,263,47,73,507.0,848.0,155.0,54.0,21.0,43.0,608,546,3.36,18,43,1330,84,482,844,112,134,0.982
1989,TEX,W,4,162,83,79,N,N,N,695,5458,1433,260,46,122,503.0,989.0,101.0,49.0,34.0,40.0,714,623,3.91,7,44,1279,119,654,1112,136,137,0.978
1989,TOR,E,1,162,89,73,Y,N,N,731,5581,1449,265,40,142,521.0,923.0,144.0,58.0,31.0,53.0,651,584,3.58,12,38,1408,99,478,849,127,164,0.98
1990,ATL,W,6,162,65,97,N,N,N,682,5504,1376,263,26,162,473.0,1010.0,92.0,55.0,27.0,31.0,821,727,4.58,8,30,1527,128,579,938,158,133,0.9740000000000001
1990,BAL,E,5,161,76,85,N,N,N,669,5410,1328,234,22,132,660.0,962.0,94.0,52.0,40.0,41.0,698,644,4.04,5,43,1445,161,537,776,93,151,0.985
1990,BOS,E,1,162,88,74,Y,N,N,699,5516,1502,298,31,106,598.0,795.0,53.0,52.0,28.0,44.0,664,596,3.72,13,44,1439,92,519,997,123,154,0.98
1990,CAL,W,4,162,80,82,N,N,N,690,5570,1448,237,27,147,566.0,1000.0,69.0,43.0,28.0,45.0,706,613,3.79,13,42,1482,106,544,944,142,186,0.978
1990,CHA,W,2,162,94,68,N,N,N,682,5402,1393,251,44,106,478.0,903.0,140.0,90.0,36.0,47.0,633,581,3.61,10,68,1313,106,548,914,124,169,0.98
1990,CHN,E,4,162,77,85,N,N,N,690,5600,1474,240,36,136,406.0,869.0,151.0,50.0,30.0,51.0,774,695,4.34,7,42,1510,121,572,877,124,136,0.98
1990,CIN,W,1,162,91,71,Y,Y,Y,693,5525,1466,284,40,125,466.0,913.0,166.0,66.0,42.0,42.0,597,549,3.39,12,50,1338,124,543,1029,102,126,0.983
1990,CLE,E,4,162,77,85,N,N,N,732,5485,1465,266,41,110,458.0,836.0,107.0,52.0,29.0,61.0,737,676,4.26,10,47,1491,163,518,860,117,146,0.981
1990,DET,E,3,162,79,83,N,N,N,750,5479,1418,241,32,172,634.0,952.0,82.0,57.0,34.0,41.0,754,697,4.39,12,45,1401,154,661,856,131,178,0.9790000000000001
1990,HOU,W,4,162,75,87,N,N,N,573,5379,1301,209,32,94,548.0,997.0,179.0,83.0,28.0,41.0,656,581,3.61,6,37,1396,130,496,854,131,124,0.978
1990,KCA,W,6,161,75,86,N,N,N,707,5488,1465,316,44,100,498.0,879.0,107.0,62.0,27.0,54.0,709,621,3.93,8,33,1449,116,560,1006,122,161,0.98
1990,LAN,W,2,162,86,76,N,N,N,728,5491,1436,222,27,129,538.0,952.0,141.0,65.0,31.0,48.0,685,596,3.72,12,29,1364,137,478,1021,130,123,0.9790000000000001
